"cnty"	"dist"	"schl"	"cntyname"	"distname"	"schlname"	"DFG"	"ttltstd"	"ttlpapnum"	"percpass"	"percpassdfg"	"diff"
"09"	"5840"	"   "	"CAPE MAY  "	"WOODBINE BORO"	""	"A "	272.00	150.99	55.51	51.53	3.97
"09"	"5840"	"050"	"CAPE MAY  "	"WOODBINE BORO"	"WOODBINE ELEM            "	"A "	272.00	150.99	55.51	51.53	3.97
"11"	"0540"	"   "	"CUMBERLAND"	"BRIDGETON"	""	"A "	5300.00	2224.87	41.97	51.53	-9.55
"11"	"0540"	"020"	"CUMBERLAND"	"BRIDGETON"	"BRIDGETON SENIOR H.S."	"A "	459.00	284.91	62.07	51.53	10.53
"11"	"0540"	"030"	"CUMBERLAND"	"BRIDGETON"	"BROAD STREET ELEM SCH    "	"A "	1415.00	500.90	35.39	51.53	-16.13
"11"	"0540"	"050"	"CUMBERLAND"	"BRIDGETON"	"BUCKSHUTEM ROAD          "	"A "	501.00	238.93	47.69	51.53	-3.84
"11"	"0540"	"055"	"CUMBERLAND"	"BRIDGETON"	"CHERRY STREET            "	"A "	662.00	189.13	28.57	51.53	-22.96
"11"	"0540"	"060"	"CUMBERLAND"	"BRIDGETON"	"INDIAN AVE               "	"A "	868.00	371.94	42.85	51.53	-8.68
"11"	"0540"	"100"	"CUMBERLAND"	"BRIDGETON"	"QUARTER MILE LANE        "	"A "	443.00	200.00	45.14	51.53	-6.38
"11"	"0540"	"130"	"CUMBERLAND"	"BRIDGETON"	"WEST AVE                 "	"A "	910.00	434.13	47.70	51.53	-3.82
"11"	"0950"	"   "	"CUMBERLAND"	"COMMERCIAL TWP"	""	"A "	856.00	399.00	46.61	51.53	-4.92
"11"	"0950"	"025"	"CUMBERLAND"	"COMMERCIAL TWP"	"HALEYVILLE-MAURICETOWN   "	"A "	462.00	210.94	45.65	51.53	-5.87
"11"	"0950"	"050"	"CUMBERLAND"	"COMMERCIAL TWP"	"PORT NORRIS              "	"A "	394.00	188.06	47.73	51.53	-3.80
"11"	"0995"	"   "	"CUMBERLAND"	"CUMBERLAND CNTY VOC ED"	""	"V "	0.00	0.00		87.99	
"11"	"0995"	"030"	"CUMBERLAND"	"CUMBERLAND CNTY VOC ED"	"CUMBERLAND CNTY TECHNICAL"	"V "	0.00	0.00		87.99	
"11"	"0997"	"   "	"CUMBERLAND"	"CUMBERLAND REGIONAL"	""	"B "	628.00	461.81	73.53	63.76	9.76
"11"	"0997"	"030"	"CUMBERLAND"	"CUMBERLAND REGIONAL"	"CUMBERLAND REGIONAL H.S."	"B "	628.00	461.81	73.53	63.76	9.76
"11"	"1020"	"   "	"CUMBERLAND"	"DEERFIELD TWP"	""	"B "	504.00	279.02	55.36	63.76	-8.40
"11"	"1020"	"040"	"CUMBERLAND"	"DEERFIELD TWP"	"DEERFIELD                "	"B "	504.00	279.02	55.36	63.76	-8.40
"11"	"1120"	"   "	"CUMBERLAND"	"DOWNE TWP"	""	"A "	248.00	123.01	49.60	51.53	-1.93
"11"	"1120"	"045"	"CUMBERLAND"	"DOWNE TWP"	"DOWNE TWP ELEMENTARY     "	"A "	248.00	123.01	49.60	51.53	-1.93
"11"	"1460"	"   "	"CUMBERLAND"	"FAIRFIELD TWP"	""	"A "	757.00	290.01	38.31	51.53	-13.22
"11"	"1460"	"070"	"CUMBERLAND"	"FAIRFIELD TWP"	"FAIRFIELD TWP SCHOOL"	"A "	757.00	290.01	38.31	51.53	-13.22
"11"	"1820"	"   "	"CUMBERLAND"	"GREENWICH TWP"	""	"CD"	60.00	46.99	78.32	68.63	9.68
"11"	"1820"	"060"	"CUMBERLAND"	"GREENWICH TWP"	"MORRIS GOODWIN           "	"CD"	60.00	46.99	78.32	68.63	9.68
"11"	"2270"	"   "	"CUMBERLAND"	"HOPEWELL TWP"	""	"CD"	827.00	519.93	62.87	68.63	-5.76
"11"	"2270"	"060"	"CUMBERLAND"	"HOPEWELL TWP"	"HOPEWELL CREST           "	"CD"	827.00	519.93	62.87	68.63	-5.76
"11"	"2570"	"   "	"CUMBERLAND"	"LAWRENCE TWP"	""	"A "	640.00	437.98	68.43	51.53	16.90
"11"	"2570"	"030"	"CUMBERLAND"	"LAWRENCE TWP"	"MYRON L POWELL           "	"A "	640.00	437.98	68.43	51.53	16.90
"11"	"3050"	"   "	"CUMBERLAND"	"MAURICE RIVER TWP"	""	"B "	523.00	355.99	68.06	63.76	4.29
"11"	"3050"	"065"	"CUMBERLAND"	"MAURICE RIVER TWP"	"MAURICE RIVER TWP        "	"B "	523.00	355.99	68.06	63.76	4.29
"11"	"3230"	"   "	"CUMBERLAND"	"MILLVILLE"	""	"A "	5812.00	3147.29	54.15	51.53	2.61
"11"	"3230"	"050"	"CUMBERLAND"	"MILLVILLE"	"MILLVILLE SR HIGH"	"A "	932.00	650.73	69.82	51.53	18.28
"11"	"3230"	"065"	"CUMBERLAND"	"MILLVILLE"	"BACON ELEM               "	"A "	383.00	147.91	38.62	51.53	-12.91
"11"	"3230"	"075"	"CUMBERLAND"	"MILLVILLE"	"HOLLY HEIGHTS            "	"A "	562.00	294.00	52.31	51.53	0.77
"11"	"3230"	"077"	"CUMBERLAND"	"MILLVILLE"	"LAKESIDE MIDDLE SCHOOL   "	"A "	2234.00	1161.07	51.97	51.53	0.43
"11"	"3230"	"080"	"CUMBERLAND"	"MILLVILLE"	"MOUNT PLEASANT           "	"A "	320.00	204.04	63.76	51.53	12.22
"11"	"3230"	"085"	"CUMBERLAND"	"MILLVILLE"	"RIECK AVE                "	"A "	435.00	258.06	59.32	51.53	7.79
"11"	"3230"	"090"	"CUMBERLAND"	"MILLVILLE"	"R D WOOD                 "	"A "	282.00	109.99	39.00	51.53	-12.52
"11"	"3230"	"100"	"CUMBERLAND"	"MILLVILLE"	"SILVER RUN SCHOOL        "	"A "	622.00	318.16	51.15	51.53	-0.38
"11"	"5070"	"   "	"CUMBERLAND"	"STOW CREEK TWP"	""	"CD"	132.00	77.02	58.35	68.63	-10.28
"11"	"5070"	"050"	"CUMBERLAND"	"STOW CREEK TWP"	"STOW CREEK TOWNSHIP      "	"CD"	132.00	77.02	58.35	68.63	-10.28
"11"	"5300"	"   "	"CUMBERLAND"	"UPPER DEERFIELD TWP"	""	"B "	1142.00	620.01	54.29	63.76	-9.47
"11"	"5300"	"050"	"CUMBERLAND"	"UPPER DEERFIELD TWP"	"CHARLES F SEABROOK SCHOOL "	"B "	172.00	84.96	49.40	63.76	-14.36
"11"	"5300"	"060"	"CUMBERLAND"	"UPPER DEERFIELD TWP"	"ELIZABETH F MOORE SCHOOL "	"B "	405.00	234.98	58.02	63.76	-5.74
"11"	"5300"	"070"	"CUMBERLAND"	"UPPER DEERFIELD TWP"	"WOODRUFF SCHOOL          "	"B "	565.00	300.05	53.10	63.76	-10.66
"11"	"5390"	"   "	"CUMBERLAND"	"VINELAND CITY"	""	"A "	10301.00	6455.42	62.66	51.53	11.13
"11"	"5390"	"050"	"CUMBERLAND"	"VINELAND CITY"	"VINELAND H. S."	"A "	1198.00	850.35	70.98	51.53	19.44
"11"	"5390"	"055"	"CUMBERLAND"	"VINELAND CITY"	"LANDIS INTERMEDIATE SCH  "	"A "	963.00	540.19	56.09	51.53	4.55
"11"	"5390"	"060"	"CUMBERLAND"	"VINELAND CITY"	"MEMORIAL VETERANS"	"A "	0.00	0.00		51.53	
"11"	"5390"	"060"	"CUMBERLAND"	"VINELAND CITY"	"VETERANS MEMORIAL INT SCH"	"A "	1057.00	587.85	55.61	51.53	4.08
"11"	"5390"	"065"	"CUMBERLAND"	"VINELAND CITY"	"ANTHONY ROSSI INTER. SCH "	"A "	1125.00	688.22	61.17	51.53	9.64
"11"	"5390"	"075"	"CUMBERLAND"	"VINELAND CITY"	"GLORIA SABATER"	"A "	620.00	357.97	57.73	51.53	6.20
"11"	"5390"	"090"	"CUMBERLAND"	"VINELAND CITY"	"CUNNINGHAM SCHOOL"	"A "	0.00	0.00		51.53	
"11"	"5390"	"095"	"CUMBERLAND"	"VINELAND CITY"	"DANE BARSE ELEMENTARY"	"A "	497.00	338.85	68.17	51.53	16.64
"11"	"5390"	"115"	"CUMBERLAND"	"VINELAND CITY"	"WINSLOW ELEMENTARY"	"A "	689.00	491.86	71.38	51.53	19.85
"11"	"5390"	"120"	"CUMBERLAND"	"VINELAND CITY"	"JOHNSTONE ELEMENTARY"	"A "	358.00	202.02	56.43	51.53	4.89
"11"	"5390"	"135"	"CUMBERLAND"	"VINELAND CITY"	"MARIE DURAND ELEMENTARY"	"A "	705.00	466.07	66.11	51.53	14.57
"11"	"5390"	"230"	"CUMBERLAND"	"VINELAND CITY"	"D IPPOLITO"	"A "	731.00	488.05	66.76	51.53	15.22
"11"	"5390"	"260"	"CUMBERLAND"	"VINELAND CITY"	"WM. MENNIES ELEMENTARY"	"A "	670.00	449.09	67.02	51.53	15.49
"11"	"5390"	"270"	"CUMBERLAND"	"VINELAND CITY"	"PAULINE PETWAY ELEMENTARY"	"A "	668.00	455.94	68.25	51.53	16.72
"11"	"5390"	"280"	"CUMBERLAND"	"VINELAND CITY"	"THOMAS WALLACE MIDDLE"	"A "	959.00	526.93	54.94	51.53	3.41
"13"	"0250"	"   "	"ESSEX     "	"BELLEVILLE"	""	"CD"	5294.00	3643.26	68.81	68.63	0.17
"13"	"0250"	"020"	"ESSEX     "	"BELLEVILLE"	"BELLEVILLE HIGH SCHOOL"	"CD"	763.00	588.22	77.09	68.63	8.45
"13"	"0250"	"025"	"ESSEX     "	"BELLEVILLE"	"BELLEVILLE MIDDLE        "	"CD"	1339.00	859.33	64.17	68.63	-4.46
"13"	"0250"	"050"	"ESSEX     "	"BELLEVILLE"	"NUMBER 3                 "	"CD"	493.00	353.10	71.62	68.63	2.98
"13"	"0250"	"055"	"ESSEX     "	"BELLEVILLE"	"NUMBER 4                 "	"CD"	471.00	336.98	71.54	68.63	2.90
"13"	"0250"	"060"	"ESSEX     "	"BELLEVILLE"	"NUMBER 5                 "	"CD"	587.00	372.96	63.53	68.63	-5.10
"13"	"0250"	"070"	"ESSEX     "	"BELLEVILLE"	"NUMBER 7                 "	"CD"	458.00	334.05	72.93	68.63	4.29
"13"	"0250"	"080"	"ESSEX     "	"BELLEVILLE"	"NUMBER 8                 "	"CD"	714.00	440.10	61.63	68.63	-6.99
"13"	"0250"	"090"	"ESSEX     "	"BELLEVILLE"	"NUMBER 9                 "	"CD"	221.00	143.01	64.71	68.63	-3.92
"13"	"0250"	"100"	"ESSEX     "	"BELLEVILLE"	"NUMBER 10                "	"CD"	246.00	215.03	87.41	68.63	18.77
"13"	"0410"	"   "	"ESSEX     "	"BLOOMFIELD TOWNSHIP"	""	"DE"	6633.00	4810.65	72.52	75.81	-3.28
"13"	"0410"	"020"	"ESSEX     "	"BLOOMFIELD TOWNSHIP"	"BLOOMFIELD H.S."	"DE"	885.00	741.72	83.81	75.81	7.99
"13"	"0410"	"030"	"ESSEX     "	"BLOOMFIELD TOWNSHIP"	"BLOOMFIELD MIDDLE        "	"DE"	1850.00	1162.73	62.85	75.81	-12.96
"13"	"0410"	"050"	"ESSEX     "	"BLOOMFIELD TOWNSHIP"	"BERKELEY                 "	"DE"	495.00	306.99	62.01	75.81	-13.79
"13"	"0410"	"060"	"ESSEX     "	"BLOOMFIELD TOWNSHIP"	"BROOKDALE                "	"DE"	420.00	366.97	87.37	75.81	11.56
"13"	"0410"	"080"	"ESSEX     "	"BLOOMFIELD TOWNSHIP"	"CARTERET                 "	"DE"	518.00	390.93	75.46	75.81	-0.34
"13"	"0410"	"100"	"ESSEX     "	"BLOOMFIELD TOWNSHIP"	"DEMAREST                 "	"DE"	585.00	467.92	79.98	75.81	4.17
"13"	"0410"	"110"	"ESSEX     "	"BLOOMFIELD TOWNSHIP"	"FAIRVIEW                 "	"DE"	618.00	412.11	66.68	75.81	-9.13
"13"	"0410"	"120"	"ESSEX     "	"BLOOMFIELD TOWNSHIP"	"BRIDGE ACADEMY AT FOREST GLEN SCHOOL"	"DE"	0.00	0.00		75.81	
"13"	"0410"	"130"	"ESSEX     "	"BLOOMFIELD TOWNSHIP"	"FRANKLIN                 "	"DE"	497.00	348.86	70.19	75.81	-5.62
"13"	"0410"	"140"	"ESSEX     "	"BLOOMFIELD TOWNSHIP"	"OAK VIEW                 "	"DE"	369.00	334.98	90.78	75.81	14.96
"13"	"0410"	"150"	"ESSEX     "	"BLOOMFIELD TOWNSHIP"	"WATSESSING               "	"DE"	388.00	275.99	71.13	75.81	-4.68
"13"	"0660"	"   "	"ESSEX     "	"CALDWELL-WEST CALDWELL"	""	"I "	3032.00	2559.92	84.43	87.55	-3.12
"13"	"0660"	"050"	"ESSEX     "	"CALDWELL-WEST CALDWELL"	"JAMES CALDWELL H.S."	"I "	380.00	351.12	92.40	87.55	4.84
"13"	"0660"	"060"	"ESSEX     "	"CALDWELL-WEST CALDWELL"	"GROVER CLEVELAND MIDDLE  "	"I "	1281.00	1046.94	81.72	87.55	-5.82
"13"	"0660"	"070"	"ESSEX     "	"CALDWELL-WEST CALDWELL"	"JEFFERSON                "	"I "	373.00	306.97	82.29	87.55	-5.25
"13"	"0660"	"080"	"ESSEX     "	"CALDWELL-WEST CALDWELL"	"LINCOLN                  "	"I "	274.00	237.05	86.51	87.55	-1.03
"13"	"0660"	"110"	"ESSEX     "	"CALDWELL-WEST CALDWELL"	"WASHINGTON               "	"I "	459.00	387.01	84.31	87.55	-3.23
"13"	"0660"	"120"	"ESSEX     "	"CALDWELL-WEST CALDWELL"	"WILSON                   "	"I "	261.00	229.04	87.75	87.55	0.20
"13"	"0760"	"   "	"ESSEX     "	"CEDAR GROVE TOWNSHIP"	""	"I "	1867.00	1556.85	83.38	87.55	-4.16
"13"	"0760"	"050"	"ESSEX     "	"CEDAR GROVE TOWNSHIP"	"CEDAR GROVE HIGH SCHOOL"	"I "	182.00	168.98	92.85	87.55	5.29
"13"	"0760"	"058"	"ESSEX     "	"CEDAR GROVE TOWNSHIP"	"CEDAR GROVE MEMORIAL MS  "	"I "	1043.00	833.84	79.94	87.55	-7.60
"13"	"0760"	"060"	"ESSEX     "	"CEDAR GROVE TOWNSHIP"	"NORTH END ELEMENTARY SCHOOL "	"I "	302.00	279.05	92.40	87.55	4.84
"13"	"0760"	"090"	"ESSEX     "	"CEDAR GROVE TOWNSHIP"	"SOUTH END ELEMENTARY SCHOOL "	"I "	340.00	275.06	80.90	87.55	-6.65
"13"	"1210"	"   "	"ESSEX     "	"EAST ORANGE"	""	"A "	10133.00	5429.42	53.58	51.53	2.04
"13"	"1210"	"035"	"ESSEX     "	"EAST ORANGE"	"EAST ORANGE CAMPUS"	"A "	871.00	489.01	56.14	51.53	4.60
"13"	"1210"	"050"	"ESSEX     "	"EAST ORANGE"	"EDWARD T. BOWSER, SR."	"A "	700.00	448.36	64.05	51.53	12.51
"13"	"1210"	"060"	"ESSEX     "	"EAST ORANGE"	"G.WASHINGTON CARVER INST "	"A "	446.00	266.99	59.86	51.53	8.32
"13"	"1210"	"070"	"ESSEX     "	"EAST ORANGE"	"JOHN L. COSTLEY MIDDLE   "	"A "	885.00	405.28	45.79	51.53	-5.74
"13"	"1210"	"080"	"ESSEX     "	"EAST ORANGE"	"LANGSTON HUGHES SCHOOL   "	"A "	580.00	327.03	56.38	51.53	4.85
"13"	"1210"	"090"	"ESSEX     "	"EAST ORANGE"	"WHITNEY E. HOUSTON ACAD  "	"A "	702.00	428.07	60.97	51.53	9.44
"13"	"1210"	"093"	"ESSEX     "	"EAST ORANGE"	"BENJAMIN BANNEKER ACADEMY"	"A "	613.00	391.01	63.78	51.53	12.25
"13"	"1210"	"095"	"ESSEX     "	"EAST ORANGE"	"PATRICK F. HEALY MIDDLE  "	"A "	822.00	175.12	21.30	51.53	-30.23
"13"	"1210"	"100"	"ESSEX     "	"EAST ORANGE"	"M B GARVIN MICROSOCIETY S"	"A "	304.00	175.91	57.86	51.53	6.33
"13"	"1210"	"110"	"ESSEX     "	"EAST ORANGE"	"DIONNE WARWICK INSTITUTE "	"A "	448.00	249.92	55.78	51.53	4.25
"13"	"1210"	"120"	"ESSEX     "	"EAST ORANGE"	"ECOLE T. LOVERTURE SCHOOL"	"A "	340.00	195.91	57.62	51.53	6.08
"13"	"1210"	"130"	"ESSEX     "	"EAST ORANGE"	"GORDON PARKS ACADEMY     "	"A "	322.00	129.00	40.06	51.53	-11.47
"13"	"1210"	"135"	"ESSEX     "	"EAST ORANGE"	"SOJOURNER TRUTH MIDDLE   "	"A "	885.00	295.20	33.35	51.53	-18.17
"13"	"1210"	"140"	"ESSEX     "	"EAST ORANGE"	"CICELY L. TYSON ELEMENTARY"	"A "	525.00	367.05	69.91	51.53	18.38
"13"	"1210"	"150"	"ESSEX     "	"EAST ORANGE"	"CICELY TYSON COM HS/MS"	"A "	787.00	401.90	51.06	51.53	-0.46
"13"	"1210"	"150"	"ESSEX     "	"EAST ORANGE"	"CICELY TYSON COM. MS/HS"	"A "	194.00	160.14	82.55	51.53	31.01
"13"	"1210"	"170"	"ESSEX     "	"EAST ORANGE"	"J GARFIELD JACKSON SR ACD"	"A "	370.00	260.96	70.53	51.53	18.99
"13"	"1210"	"190"	"ESSEX     "	"EAST ORANGE"	"JOHNNIE L COCHRAN JR ACAD"	"A "	337.00	264.00	78.34	51.53	26.80
"13"	"1390"	"   "	"ESSEX     "	"ESSEX COUNTY VOCATIONAL S"	""	"V "	892.00	800.12	89.70	87.99	1.70
"13"	"1390"	"020"	"ESSEX     "	"ESSEX COUNTY VOCATIONAL S"	"ESSEX COUNTY VOC. BLOOMFI"	"V "	204.00	199.00	97.55	87.99	9.55
"13"	"1390"	"050"	"ESSEX     "	"ESSEX COUNTY VOCATIONAL S"	"ESSEX CO VO -NO.13TH ST."	"V "	290.00	265.06	91.40	87.99	3.40
"13"	"1390"	"070"	"ESSEX     "	"ESSEX COUNTY VOCATIONAL S"	"ESSEX CO VO- W. MARKET ST"	"V "	330.00	283.96	86.05	87.99	-1.94
"13"	"1390"	"080"	"ESSEX     "	"ESSEX COUNTY VOCATIONAL S"	"WEST CALDWELL"	"V "	68.00	51.98	76.45	87.99	-11.54
"13"	"1400"	"   "	"ESSEX     "	"ESSEX FELLS BORO"	""	"J "	265.00	254.98	96.21	92.25	3.96
"13"	"1400"	"050"	"ESSEX     "	"ESSEX FELLS BORO"	"ESSEX FELLS              "	"J "	265.00	254.98	96.21	92.25	3.96
"13"	"1465"	"   "	"ESSEX     "	"FAIRFIELD TWP"	""	"GH"	896.00	735.93	82.13	82.71	-0.57
"13"	"1465"	"005"	"ESSEX     "	"FAIRFIELD TWP"	"ADLAI E. STEVENSON E.S. "	"GH"	186.00	152.98	82.25	82.71	-0.46
"13"	"1465"	"030"	"ESSEX     "	"FAIRFIELD TWP"	"WINSTON CHURCHILL        "	"GH"	710.00	582.95	82.10	82.71	-0.60
"13"	"1750"	"   "	"ESSEX     "	"GLEN RIDGE"	""	"I "	2151.00	1904.07	88.52	87.55	0.96
"13"	"1750"	"050"	"ESSEX     "	"GLEN RIDGE"	"GLEN RIDGE H.S."	"I "	281.00	261.91	93.20	87.55	5.65
"13"	"1750"	"050"	"ESSEX     "	"GLEN RIDGE"	"GLEN RIDGE HIGH          "	"I "	575.00	500.96	87.12	87.55	-0.42
"13"	"1750"	"075"	"ESSEX     "	"GLEN RIDGE"	"RIDGEWOOD AVENUE SCHOOL  "	"I "	1295.00	1141.19	88.12	87.55	0.57
"13"	"2330"	"   "	"ESSEX     "	"IRVINGTON TOWNSHIP"	""	"A "	7341.00	3267.00	44.50	51.53	-7.03
"13"	"2330"	"050"	"ESSEX     "	"IRVINGTON TOWNSHIP"	"IRVINGTON H.S."	"A "	569.00	287.19	50.47	51.53	-1.06
"13"	"2330"	"080"	"ESSEX     "	"IRVINGTON TOWNSHIP"	"BERKELEY TERRACE         "	"A "	504.00	179.81	35.67	51.53	-15.85
"13"	"2330"	"090"	"ESSEX     "	"IRVINGTON TOWNSHIP"	"CHANCELLOR AVE           "	"A "	494.00	291.02	58.91	51.53	7.37
"13"	"2330"	"100"	"ESSEX     "	"IRVINGTON TOWNSHIP"	"FLORENCE AVE             "	"A "	581.00	246.12	42.36	51.53	-9.17
"13"	"2330"	"110"	"ESSEX     "	"IRVINGTON TOWNSHIP"	"GROVE ST                 "	"A "	380.00	223.95	58.93	51.53	7.39
"13"	"2330"	"120"	"ESSEX     "	"IRVINGTON TOWNSHIP"	"MADISON AVE              "	"A "	329.00	209.98	63.82	51.53	12.29
"13"	"2330"	"125"	"ESSEX     "	"IRVINGTON TOWNSHIP"	"THURGOOD G MARSHALL      "	"A "	269.00	131.95	49.05	51.53	-2.48
"13"	"2330"	"131"	"ESSEX     "	"IRVINGTON TOWNSHIP"	"MT VERNON AVE            "	"A "	669.00	351.00	52.46	51.53	0.93
"13"	"2330"	"135"	"ESSEX     "	"IRVINGTON TOWNSHIP"	"UNIVERSITY MIDDLE SCHOOL "	"A "	1416.00	378.27	26.71	51.53	-24.82
"13"	"2330"	"136"	"ESSEX     "	"IRVINGTON TOWNSHIP"	"UNIVERSITY ELEMENTARY"	"A "	554.00	312.09	56.33	51.53	4.79
"13"	"2330"	"140"	"ESSEX     "	"IRVINGTON TOWNSHIP"	"UNION AVE                "	"A "	1568.00	656.94	41.89	51.53	-9.63
"13"	"2730"	"   "	"ESSEX     "	"LIVINGSTON TOWNSHIP"	""	"I "	6764.00	6098.07	90.15	87.55	2.60
"13"	"2730"	"050"	"ESSEX     "	"LIVINGSTON TOWNSHIP"	"LIVINGSTON H.S."	"I "	872.00	834.50	95.70	87.55	8.14
"13"	"2730"	"055"	"ESSEX     "	"LIVINGSTON TOWNSHIP"	"HERITAGE MIDDLE SCH      "	"I "	1801.00	1610.36	89.41	87.55	1.86
"13"	"2730"	"060"	"ESSEX     "	"LIVINGSTON TOWNSHIP"	"MT PLEASANT MIDDLE SCH   "	"I "	941.00	821.54	87.30	87.55	-0.24
"13"	"2730"	"070"	"ESSEX     "	"LIVINGSTON TOWNSHIP"	"BURNET HILL SCHOOL       "	"I "	452.00	411.05	90.94	87.55	3.38
"13"	"2730"	"080"	"ESSEX     "	"LIVINGSTON TOWNSHIP"	"COLLINS                  "	"I "	486.00	458.05	94.25	87.55	6.69
"13"	"2730"	"090"	"ESSEX     "	"LIVINGSTON TOWNSHIP"	"HARRISON                 "	"I "	667.00	596.20	89.38	87.55	1.83
"13"	"2730"	"100"	"ESSEX     "	"LIVINGSTON TOWNSHIP"	"HILLSIDE                 "	"I "	499.00	443.78	88.93	87.55	1.38
"13"	"2730"	"110"	"ESSEX     "	"LIVINGSTON TOWNSHIP"	"MT PLEASANT              "	"I "	525.00	474.83	90.44	87.55	2.89
"13"	"2730"	"118"	"ESSEX     "	"LIVINGSTON TOWNSHIP"	"RIKER HILL               "	"I "	509.00	447.99	88.01	87.55	0.46
"13"	"3190"	"   "	"ESSEX     "	"MILLBURN TOWNSHIP"	""	"J "	5632.00	5226.77	92.80	92.25	0.54
"13"	"3190"	"050"	"ESSEX     "	"MILLBURN TOWNSHIP"	"MILLBURN SR. H.S."	"J "	714.00	687.93	96.35	92.25	4.09
"13"	"3190"	"060"	"ESSEX     "	"MILLBURN TOWNSHIP"	"MILLBURN MIDDLE SCHOOL   "	"J "	2280.00	2110.05	92.54	92.25	0.29
"13"	"3190"	"065"	"ESSEX     "	"MILLBURN TOWNSHIP"	"DEERFIELD                "	"J "	624.00	587.04	94.07	92.25	1.82
"13"	"3190"	"070"	"ESSEX     "	"MILLBURN TOWNSHIP"	"GLENWOOD                 "	"J "	605.00	567.99	93.88	92.25	1.62
"13"	"3190"	"080"	"ESSEX     "	"MILLBURN TOWNSHIP"	"HARTSHORN                "	"J "	643.00	596.99	92.84	92.25	0.58
"13"	"3190"	"100"	"ESSEX     "	"MILLBURN TOWNSHIP"	"SOUTH MOUNTAIN ELEM SCH  "	"J "	350.00	307.01	87.71	92.25	-4.53
"13"	"3190"	"120"	"ESSEX     "	"MILLBURN TOWNSHIP"	"WYOMING                  "	"J "	412.00	367.97	89.31	92.25	-2.94
"13"	"3310"	"   "	"ESSEX     "	"MONTCLAIR"	""	"I "	7694.00	6276.82	81.58	87.55	-5.97
"13"	"3310"	"050"	"ESSEX     "	"MONTCLAIR"	"MONTCLAIR H.S."	"I "	955.00	842.84	88.25	87.55	0.70
"13"	"3310"	"060"	"ESSEX     "	"MONTCLAIR"	"RAND SCHOOL              "	"I "	422.00	307.14	72.78	87.55	-14.76
"13"	"3310"	"100"	"ESSEX     "	"MONTCLAIR"	"BRADFORD                 "	"I "	519.00	463.98	89.39	87.55	1.84
"13"	"3310"	"110"	"ESSEX     "	"MONTCLAIR"	"EDGEMONT                 "	"I "	351.00	285.99	81.48	87.55	-6.07
"13"	"3310"	"116"	"ESSEX     "	"MONTCLAIR"	"GLENFIELD MIDDLE         "	"I "	1406.00	1150.85	81.85	87.55	-5.69
"13"	"3310"	"123"	"ESSEX     "	"MONTCLAIR"	"HILLSIDE                 "	"I "	1371.00	1104.86	80.58	87.55	-6.96
"13"	"3310"	"127"	"ESSEX     "	"MONTCLAIR"	"MT HEBRON MIDDLE SCHOOL  "	"I "	1105.00	800.14	72.41	87.55	-15.14
"13"	"3310"	"140"	"ESSEX     "	"MONTCLAIR"	"NORTHEAST                "	"I "	510.00	410.00	80.39	87.55	-7.15
"13"	"3310"	"165"	"ESSEX     "	"MONTCLAIR"	"RENAISSANCE MIDDLE SCH   "	"I "	518.00	413.11	79.75	87.55	-7.80
"13"	"3310"	"170"	"ESSEX     "	"MONTCLAIR"	"WATCHUNG                 "	"I "	535.00	498.07	93.09	87.55	5.54
"13"	"3570"	"   "	"ESSEX     "	"NEWARK"	""	"A "	40140.00	19350.41	48.20	51.53	-3.32
"13"	"3570"	"002"	"ESSEX     "	"NEWARK"	"FAST TRACK SUCCESS ACADEMY"	"A "	40.00	4.99	12.47	51.53	-39.06
"13"	"3570"	"003"	"ESSEX     "	"NEWARK"	"NEWARK INNOVATION ACADEMY"	"A "	44.00	23.00	52.27	51.53	0.73
"13"	"3570"	"010"	"ESSEX     "	"NEWARK"	"ARTS H.S."	"A "	374.00	259.86	69.48	51.53	17.94
"13"	"3570"	"020"	"ESSEX     "	"NEWARK"	"BARRINGER H"	"A "	326.00	147.95	45.38	51.53	-6.15
"13"	"3570"	"030"	"ESSEX     "	"NEWARK"	"CENTRAL H.S."	"A "	384.00	207.87	54.13	51.53	2.59
"13"	"3570"	"040"	"ESSEX     "	"NEWARK"	"EAST SIDE H.S."	"A "	608.00	453.89	74.65	51.53	23.11
"13"	"3570"	"045"	"ESSEX     "	"NEWARK"	"NEWARK VOCATIONAL HIGH SCHOOL"	"A "	117.00	71.03	60.71	51.53	9.17
"13"	"3570"	"050"	"ESSEX     "	"NEWARK"	"MALCOLM X. SHABAZZ H.S."	"A "	214.00	93.94	43.90	51.53	-7.63
"13"	"3570"	"055"	"ESSEX     "	"NEWARK"	"SCIENCE H.S."	"A "	336.00	334.99	99.70	51.53	48.16
"13"	"3570"	"055"	"ESSEX     "	"NEWARK"	"SCIENCE HIGH SCHOOL"	"A "	192.00	180.01	93.75	51.53	42.22
"13"	"3570"	"056"	"ESSEX     "	"NEWARK"	"TECHNOLOGY H.S. "	"A "	96.00	63.02	65.65	51.53	14.11
"13"	"3570"	"056"	"ESSEX     "	"NEWARK"	"TECHNOLOGY HIGH SCHOOL"	"A "	224.00	217.05	96.90	51.53	45.36
"13"	"3570"	"057"	"ESSEX     "	"NEWARK"	"UNIVERSITY H.S."	"A "	212.00	200.97	94.80	51.53	43.26
"13"	"3570"	"057"	"ESSEX     "	"NEWARK"	"UNIVERSITY HIGH          "	"A "	138.00	91.94	66.62	51.53	15.08
